Date : 2026-07-21 15:07:07
Directory : /home/jinfei/桌面/WeBox-PRD-候选人交付包./WeBox-PRD-候选人交付包/webox/web
Total : 111 files,  1475 codes, -103 comments, -454 blanks, all 918 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      2,566 |          4 |          9 |      2,579 |
| TypeScript JSX     |         23 |      1,179 |         34 |        118 |      1,331 |
| TypeScript         |         10 |        303 |         24 |         57 |        384 |
| Markdown           |          1 |         23 |          0 |         10 |         33 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| PostCSS            |          1 |          4 |          5 |          3 |         12 |
| YAML               |          1 |        -25 |         -1 |         -3 |        -29 |
| XML                |          3 |        -56 |         -2 |         -5 |        -63 |
| Java               |         65 |     -2,539 |       -167 |       -645 |     -3,351 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        111 |      1,475 |       -103 |       -454 |        918 |
| . (Files)                                                                                                                           |          9 |      2,621 |          7 |         23 |      2,651 |
| ..                                                                                                                                  |         67 |     -2,645 |       -170 |       -654 |     -3,469 |
| ../server                                                                                                                           |         67 |     -2,645 |       -170 |       -654 |     -3,469 |
| ../server (Files)                                                                                                                   |          1 |        -81 |         -2 |         -6 |        -89 |
| ../server/src                                                                                                                       |         66 |     -2,564 |       -168 |       -648 |     -3,380 |
| ../server/src/main                                                                                                                  |         66 |     -2,564 |       -168 |       -648 |     -3,380 |
| ../server/src/main/java                                                                                                             |         65 |     -2,539 |       -167 |       -645 |     -3,351 |
| ../server/src/main/java/com                                                                                                         |         65 |     -2,539 |       -167 |       -645 |     -3,351 |
| ../server/src/main/java/com/webox                                                                                                   |         65 |     -2,539 |       -167 |       -645 |     -3,351 |
| ../server/src/main/java/com/webox (Files)                                                                                           |          1 |        -11 |          0 |         -4 |        -15 |
| ../server/src/main/java/com/webox/admin                                                                                             |          1 |        -16 |         -1 |         -5 |        -22 |
| ../server/src/main/java/com/webox/auth                                                                                              |         12 |       -313 |        -18 |        -88 |       -419 |
| ../server/src/main/java/com/webox/auth (Files)                                                                                      |          9 |       -280 |        -17 |        -76 |       -373 |
| ../server/src/main/java/com/webox/auth/dto                                                                                          |          3 |        -33 |         -1 |        -12 |        -46 |
| ../server/src/main/java/com/webox/bootstrap                                                                                         |          1 |       -202 |        -10 |        -29 |       -241 |
